type,dataset,n,p,lam_fpc,lam_lasso,lam_scale,diff_lam_fpc,violation
survival,lung,228,16,0.676431022485541,0.0377793371349759,0.159276059619037,-0.0677540774498999,FALSE
survival,lung,228,16,0.614692650280838,0.0343904618259192,0.144082628069235,-0.0617383722047032,FALSE
survival,lung,228,16,0.558497976607572,0.0313055748007042,0.130252074985379,-0.0561946736732665,FALSE
survival,lung,228,16,0.507392263845195,0.0284974077569337,0.117662147688286,-0.0511057127623762,FALSE
survival,lung,228,16,0.460934624425666,0.0259411384085712,0.106201559786627,-0.0464576394195297,FALSE
survival,lung,228,16,0.418813331445348,0.0236141710738204,0.0957690074809467,-0.0421212929803181,FALSE
survival,lung,228,16,0.381554846126838,0.021495936944672,0.0862722741069973,-0.0372584853185097,FALSE
survival,lung,228,16,0.347442781246299,0.0195677122726357,0.0776274150031731,-0.0341120648805388,FALSE
survival,lung,228,16,0.316280100257119,0.0178124528635428,0.069758015496815,-0.0311626809891803,FALSE
survival,lung,228,16,0.28787686210186,0.0162146434184662,0.0625945154504955,-0.0284032381552585,FALSE
survival,lung,228,16,0.26198628577282,0.0147601603890346,0.0560735943977319,-0.0258905763290401,FALSE
survival,lung,228,16,0.23839721443342,0.0134361471348738,0.0501376118331441,-0.0235890713393999,FALSE
survival,lung,228,16,0.216917107522972,0.0122309002796538,0.0447340977096053,-0.021480106910448,FALSE
survival,lung,228,16,0.197350617608459,0.0111337662612044,0.0398152886387246,-0.0195664899145132,FALSE
survival,lung,228,16,0.179512786962375,0.0101350471612741,0.0353377056949916,-0.0178378306460837,FALSE
survival,lung,228,16,0.163288162501886,0.00922591498253168,0.0312617700916568,-0.0162246244604894,FALSE
survival,lung,228,16,0.148532116628121,0.00839833361507534,0.0275514533311857,-0.0147560458737648,FALSE
survival,lung,228,16,0.135112523287629,0.00764498780268944,0.0241739587378536,-0.0134195933404924,FALSE
survival,lung,228,16,0.122908841125421,0.00695921848095647,0.0210994315574468,-0.0122036821622073,FALSE
survival,lung,228,16,0.111810969206024,0.00633496391565839,0.0183006950615477,-0.0110978719193972,FALSE
survival,lung,228,16,0.101718593460139,0.0057667061211704,0.0157530103237466,-0.0100923757458856,FALSE
survival,lung,228,16,0.0925406644171329,0.0052494220852224,0.0134338575443635,-0.00917792904300573,FALSE
survival,lung,228,16,0.084194315081322,0.0047785393688881,0.0113227369907419,-0.00834634933581086,FALSE
survival,lung,228,16,0.0766027183889549,0.00434989568933587,0.00940098779355916,-0.0075915966923671,FALSE
survival,lung,228,16,0.0697018773491222,0.00395970212808053,0.0076516229974384,-0.0069008410398327,FALSE
survival,lung,228,16,0.0634287081061235,0.00360450963952181,0.0060591794078207,-0.0062731692429988,FALSE
survival,lung,228,16,0.057719768219356,0.00328117856372791,0.00460958090684605,-0.00570893988676749,FALSE
survival,lung,228,16,0.0525265856978084,0.00298685087397792,0.00329001403004858,-0.00519318252154756,FALSE
survival,lung,228,16,0.0478011801634285,0.00271892491375012,0.00208881470404882,-0.00472540553437995,FALSE
survival,lung,228,16,0.0435016000069528,0.00247503239984848,0.000995365144081023,-0.00429958015647566,FALSE
survival,lung,228,16,0.0395894581364627,0.00225301748839053,0,-0.00391214187049011,FALSE
survival,mgus,1384,7,32.3620728669628,0.721284885182239,1,,
survival,mgus,1384,7,31.2997170394905,0.656584318058553,0.90939210066558,-1.06235582747221,FALSE
survival,mgus,1384,7,30.0085736881195,0.597687509577431,0.826911894830991,-1.29114335137105,FALSE
survival,mgus,1384,7,28.4865901226022,0.544073852024309,0.751830313594821,-1.52198356551725,FALSE
survival,mgus,1384,7,26.708083274193,0.495269437144263,0.683483686863202,-1.77850684840927,FALSE
survival,mgus,1384,7,24.6445281546413,0.450842867115464,0.621267876957738,-2.06355511955166,FALSE
survival,mgus,1384,7,22.2952314752499,0.410401441285962,0.56463293844947,-2.34929667939142,FALSE
survival,mgus,1384,7,19.7426118821841,0.373587684967096,0.513078257015456,-2.55261959306578,FALSE
survival,mgus,1384,7,17.1467095619959,0.340076189600479,0.46614812434877,-2.59590232018824,FALSE
survival,mgus,1384,7,14.6818770297838,0.309570736367733,0.423427710007122,-2.46483253221206,FALSE
survival,mgus,1384,7,12.473664456312,0.281801677817687,0.384539394593992,-2.20821257347179,FALSE
survival,mgus,1384,7,10.5656258856905,0.256523554366363,0.349139431860094,-1.90803857062156,FALSE
survival,mgus,1384,7,8.95758079964235,0.233512924601268,0.316914910220405,-1.6080450860481,FALSE
survival,mgus,1384,7,7.78430759652112,0.21256639021133,0.287580986828663,-1.17327320312123,FALSE
survival,mgus,1384,7,6.81130008846289,0.193498798084215,0.260878369760397,-0.973007508058231,FALSE
survival,mgus,1384,7,5.96923721937147,0.176141603678794,0.236571026048742,-0.842062869091418,FALSE
survival,mgus,1384,7,5.23633433275927,0.160341381206069,0.214444095313601,-0.732902886612208,FALSE
survival,mgus,1384,7,4.60082376310546,0.14595846744959,0.194301990542072,-0.635510569653805,FALSE
survival,mgus,1384,7,4.04827804913881,0.132865727237647,0.175966669232327,-0.552545713966645,FALSE
survival,mgus,1384,7,3.57552486975076,0.120947429654848,0.159276059619037,-0.472753179388054,FALSE
survival,mgus,1384,7,3.17681649849955,0.110098225059574,0.144082628069235,-0.398708371251216,FALSE
survival,mgus,1384,7,2.8254256243276,0.100222213864822,0.130252074985379,-0.35139087417195,FALSE
survival,mgus,1384,7,2.5161766001138,0.0912320988511028,0.117662147688285,-0.309249024213791,FALSE
survival,mgus,1384,7,2.24377432759832,0.0830484135184217,0.106201559786627,-0.272402272515485,FALSE
survival,mgus,1384,7,2.0039013782266,0.0755988196564809,0.0957690074809466,-0.239872949371719,FALSE
survival,mgus,1384,7,1.79167867358719,0.0688174679241211,0.0862722741069972,-0.212222704639409,FALSE
survival,mgus,1384,7,1.60396516507955,0.0626444157859473,0.077627415003173,-0.187713508507639,FALSE
survival,mgus,1384,7,1.43752212012411,0.0570250976611003,0.0697580154968149,-0.166443044955446,FALSE
survival,mgus,1384,7,1.28985637995744,0.0519098426006472,0.0625945154504955,-0.147665740166661,FALSE
survival,mgus,1384,7,1.1584965353454,0.0472534352301884,0.0560735943977319,-0.13135984461205,FALSE
survival,mgus,1384,7,1.0417728092449,0.0430147160767112,0.0501376118331441,-0.116723726100496,FALSE
survival,mgus,1384,7,0.937612108637486,0.0391562177468532,0.0447340977096053,-0.104160700607413,FALSE
survival,mgus,1384,7,0.844762182961701,0.0356438337406365,0.0398152886387246,-0.0928499256757853,FALSE
survival,mgus,1384,7,0.761669705326189,0.0324465169732141,0.0353377056949916,-0.0830924776355115,FALSE
survival,mgus,1384,7,0.687380770820517,0.0295360053397631,0.0312617700916568,-0.0742889345056719,FALSE
survival,mgus,1384,7,0.620799306805296,0.0268865718977078,0.0275514533311857,-0.0665814640152211,FALSE
survival,mgus,1384,7,0.561047304134344,0.0244747974580508,0.0241739587378536,-0.0597520026709522,FALSE
